@relation xalan.2.6
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
5,3,0,17,28,0,3,15,4,0.25,129,1,1,0.93333334,0.33333334,1,5,24.4,5,1.8,0
1,3,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,0
1,6,0,2,2,0,1,1,1,2,4,0,0,1,1,0,0,3,0,0,0
2,1,0,1,4,1,1,1,1,1,17,0,1,0,0.75,0,0,7,1,0.5,0
38,3,0,27,128,607,1,27,8,0.9,1849,0,2,0.35714287,0.19459459,0,0,47.394737,15,3.7631578,2
5,1,0,0,18,4,0,0,3,0.625,157,1,0,0,0.25,0,0,30,6,1.8,0
3,3,0,6,7,1,1,5,3,2,42,0,0,0.95348835,0.8333333,1,6,13,1,0.6666667,0
5,3,2,5,13,0,3,3,4,0,145,0,1,0.7894737,0.53333336,2,6,27.8,9,3.4,0
2,1,0,1,5,0,1,1,1,0.5,20,0,1,0,0.6666667,0,0,8,1,0.5,0
2,1,0,1,5,0,1,1,1,0.33333334,33,0,1,0,0.625,0,0,14,2,1,0
6,1,0,1,16,0,0,1,5,0.73333335,88,1,0,0,0.33333334,0,0,13.166667,1,0.6666667,0
7,6,5,12,15,1,7,6,5,0.33333334,75,1,1,0.96240604,0.34285715,2,5,9.571428,2,1,1
3,5,0,6,11,3,0,6,3,2,45,0,0,0.9649123,0.6666667,2,7,14,1,0.6666667,0
5,1,0,1,6,0,1,1,5,0.6666667,37,0.6666667,1,0,0.4,0,0,5.8,2,1,0
3,3,0,0,4,1,0,0,2,0.5,1248,1,0,0.974359,1,0,0,414.66666,1,0.33333334,1
7,1,0,6,7,21,3,3,7,2,7,0,0,0,1,0,0,0,1,1,0
2,1,0,1,4,0,1,1,1,0.5,19,0,1,0,0.6666667,0,0,7.5,1,0.5,0
2,1,0,1,4,0,1,1,1,0.5,17,0,1,0,0.6666667,0,0,6.5,1,0.5,0
5,3,0,1,16,8,0,1,3,1.2462963,2125,0,0,0.9268293,0.33333334,0,0,397,2,0.8,2
2,4,0,5,5,1,0,5,2,2,15,0,0,0.97959185,0.75,1,6,6.5,1,0.5,0
16,3,0,10,82,52,2,8,13,0.8666667,616,0.5,1,0.92349726,0.4,3,30,37.375,2,0.9375,5
3,1,0,6,4,0,5,1,3,0.5625,65,0,1,0,0.5714286,0,0,18,0,0,0
2,1,0,1,5,0,1,1,1,0.5,20,0,1,0,0.6666667,0,0,8,1,0.5,0
2,1,0,1,4,1,1,1,1,1,17,0,1,0,0.75,0,0,7,1,0.5,0
