@relation ivy.2.0
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,1,2,3,7,3,2,1,4,0.6,36,1,0,0,0.44444445,0,0,4.6666665,1,0.6666667,0
2,1,0,3,4,1,1,2,1,2,33,0,0,0,0.6666667,0,0,15.5,2,1,0
2,1,0,1,22,0,1,0,1,0,193,1,1,0,0.5833333,0,0,93,12,6,0
19,1,0,8,42,99,2,7,3,0.7888889,329,1,1,0,0.2631579,0,0,16.052631,5,1.5789474,2
29,1,0,24,91,312,10,16,27,0.8214286,699,1,3,0,0.11671088,0,0,22.758621,6,1.8275862,0
3,1,0,2,4,1,2,0,3,0.5,14,1,0,0,0.6666667,0,0,3.3333333,1,0.6666667,0
7,6,0,3,22,21,0,0,7,2,68,0,0,0.96756756,0.85714287,1,1,8.714286,3,1.1428572,0
15,4,0,13,64,57,0,0,14,0.8214286,411,1,0,0.8271605,0.30666667,1,2,26,5,1.2,1
2,1,0,5,8,0,1,5,1,0,39,1,1,0,0.6666667,0,0,18,2,1,0
8,2,0,16,52,16,2,0,5,0.6666667,336,1,1,0.7407407,0.46875,1,1,40.625,2,1,0
11,1,0,43,11,55,35,8,11,2,11,0,0,0,0.4090909,0,0,0,1,1,1
12,4,0,8,24,30,0,0,12,0.8,124,1,0,0.85897434,0.7083333,0,0,8.916667,1,0.9166667,1
12,1,0,10,64,0,1,10,7,0.54545456,444,1,1,0,0.24305555,0,0,35.75,6,2.6666667,2
17,3,0,15,78,84,0,0,15,0.8515625,413,1,0,0.6981132,0.25490198,1,1,22.82353,6,1.2352941,0
15,2,0,9,40,77,3,7,12,0.6666667,286,1,1,0.6060606,0.5,1,1,17.866667,2,0.93333334,0
2,2,0,3,7,0,1,3,1,0,34,1,1,0.9444444,0.6,1,1,15,1,0.5,0
4,1,0,8,10,2,8,0,2,0.5555556,51,0.33333334,2,0,0.6666667,0,0,11,3,1,0
5,5,0,6,15,10,3,3,5,2,48,0,0,1,0.5,0,0,8.6,0,0,0
3,1,2,3,4,1,2,1,2,0,16,1,0,0,0.6666667,0,0,4,1,0.6666667,0
2,1,0,2,7,1,2,1,1,1,31,1,1,0,0.6666667,0,0,14,1,0.5,0
2,5,3,6,5,1,3,3,2,2,12,0,0,0.9941176,1,1,1,5,1,0.5,0
3,1,0,15,3,3,14,1,3,2,3,0,0,0,0.6666667,0,0,0,1,1,0
4,1,0,2,8,4,0,2,4,0.6666667,24,1,1,0,0.5,0,0,4.75,1,0.75,0
4,1,0,22,12,6,22,0,3,2,72,0,0,0,0.375,0,0,17,2,1.5,0
4,2,2,7,17,4,2,5,1,0.6666667,60,1,0,0.4,0.6666667,0,0,13.75,2,1.25,0
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0
3,2,0,3,6,3,1,2,3,2,15,0,0,0.8,0.8333333,2,2,4,1,0.6666667,0
13,6,0,25,69,78,1,24,12,2,420,0,0,0.94527364,0.17482518,4,7,31.307692,4,1.2307693,0
3,3,0,5,9,0,1,4,3,0.8333333,40,0.6666667,2,0.875,0.5,0,0,11.333333,1,0.6666667,0
7,1,0,2,8,15,2,0,7,0.875,38,1,1,0,0.39285713,0,0,3.857143,1,0.85714287,0
2,1,0,4,6,0,1,4,1,0.33333334,51,1,2,0,0.6,0,0,23,4,2,0
5,1,0,14,21,0,11,3,5,0,75,1,0,0,0.4,0,0,13.8,2,1,0
3,2,0,3,5,3,1,2,3,2,12,0,0,0.6666667,0.7777778,0,0,3,1,0.6666667,0
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,1,0,1,6,2,1,0,5,0.75,36,1,0,0,0.6,0,0,5.4,1,0.8,0
4,3,0,7,10,4,2,5,1,0.6666667,27,1,1,0.71428573,0.5,1,1,5.5,1,0.5,0
3,1,0,2,6,1,2,0,1,0.5,21,1,0,0,0.5,0,0,5.6666665,2,0.6666667,0
2,3,0,2,9,0,1,0,1,0,51,1,1,0.984375,0.6,1,1,22.5,1,0.5,0
28,1,0,11,72,118,5,10,18,0.9940263,719,0.9677419,0,0,0.22023809,0,0,23.571428,6,2.7142856,1
38,4,4,21,104,613,4,0,29,0.8976834,839,1,1,0.6442308,0.22556391,1,1,20.710526,18,1.8157895,2
2,1,0,5,6,0,1,5,2,0.5,22,1,2,0,0.5833333,0,0,9,1,0.5,0
4,2,0,3,11,6,1,2,4,2,48,0,0,0.72727275,0.6666667,1,1,11,2,1,0
4,4,0,1,5,4,1,0,4,0,25,1,0,0.9444444,0.5833333,0,0,5,1,0.25,0
3,1,0,2,17,1,1,2,1,0.5,193,1,1,0,0.5,0,0,63,17,6,0
57,2,1,56,242,1504,8,54,27,0.9502551,2550,0.78571427,3,0.53781515,0.11394558,2,5,43.491226,9,2.0350878,2
3,1,0,8,20,1,2,6,3,0,155,1,0,0,0.44444445,0,0,50,4,2,0
1,3,0,5,2,0,1,4,1,2,9,0,0,1,1,0,0,7,0,0,0
3,1,0,2,5,0,1,1,3,0,22,1,1,0,0.5555556,0,0,6,2,1,0
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,1,0,13,14,78,11,2,12,1.0555556,24,0,1,0,0.53333336,0,0,0.61538464,1,0.9230769,0
5,3,0,3,15,10,1,2,4,2,50,0,0,0.78571427,0.5,0,0,9,1,0.6,0
2,3,0,4,5,0,1,3,2,1,21,0.5,1,0.93333334,0.6666667,0,0,8.5,1,0.5,0
4,1,0,4,7,0,1,3,4,0.33333334,31,1,2,0,0.4375,0,0,6.25,2,1,0
4,4,2,5,8,6,5,0,4,2,20,0,0,1,0.6666667,0,0,4,0,0,0
3,1,0,11,38,1,1,10,3,0,215,1,0,0,0.41666666,0,0,70.333336,4,1.6666666,0
3,2,2,5,10,0,2,3,2,0.5,39,1,2,0.85714287,0.46666667,0,0,11.333333,1,0.6666667,0
5,1,0,7,26,4,1,6,3,0,158,1,0,0,0.525,0,0,30.2,4,1.8,0
4,1,0,5,22,6,3,2,3,2,100,0,0,0,0.41666666,0,0,24,3,2,0
2,1,0,19,2,1,19,0,2,2,2,0,0,0,1,0,0,0,1,1,0
9,1,0,4,11,28,3,1,9,0.875,60,1,2,0,0.4814815,0,0,5.2222223,2,1.1111112,0
3,1,2,7,12,3,2,5,1,2,53,0,0,0,0.5,0,0,16.666666,2,1,0
2,3,0,3,5,0,1,2,1,0,15,1,0,1,1,0,0,6,0,0,0
7,1,0,3,12,0,3,1,7,0.6666667,77,1,4,0,0.42857143,0,0,9.285714,1,0.85714287,0
33,1,0,54,277,194,9,48,20,0.75625,2591,1,4,0,0.10955711,0,0,77.36364,19,4,1
2,1,0,3,4,1,1,2,1,2,10,0,0,0,0.6666667,0,0,4,1,0.5,0
5,1,1,3,13,4,1,2,5,0.5,48,1,0,0,0.4,0,0,8.4,3,1.2,0
10,1,3,9,15,29,3,6,8,0.7777778,67,1,1,0,0.65,0,0,5.3,2,1,0
25,4,0,18,73,200,1,0,18,0.8541667,666,1,0,0.73626375,0.38,0,0,25.32,13,1.92,1
3,1,2,7,8,3,7,0,3,2,34,0,0,0,0.7777778,0,0,10.333333,1,0.6666667,0
1,3,0,4,2,0,1,3,1,2,9,0,0,1,1,0,0,7,0,0,0
3,1,0,5,13,0,1,5,2,0,52,1,1,0,0.5555556,0,0,16,4,1.6666666,0
15,1,0,19,66,39,2,18,6,0.82738096,451,1,3,0,0.20952381,0,0,28.266666,6,1.9333333,0
3,1,0,16,3,3,15,1,3,2,3,0,0,0,1,0,0,0,1,1,0
2,3,0,5,7,1,1,4,2,2,18,0,0,0.9375,0.625,0,0,8,1,0.5,0
2,4,0,3,5,0,1,0,1,0,15,1,1,0.98571426,0.75,1,1,6,1,0.5,0
4,1,0,11,17,4,8,3,2,0.6666667,77,0,1,0,0.33333334,0,0,18,4,1.75,0
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,1,4,0,1,0,3,0.5,20,1,0,0,0.6666667,0,0,5,1,0.6666667,0
1,3,0,1,3,0,1,0,0,2,29,0,0,1,1,0,0,28,0,0,0
3,1,0,3,16,1,1,3,3,0.5,59,1,0,0,0.6666667,0,0,18.333334,3,1.3333334,0
2,3,0,6,7,1,2,4,2,2,18,0,0,0.9375,0.625,0,0,8,1,0.5,0
5,2,0,10,44,0,3,7,5,0.5,305,1,2,0.8333333,0.6,1,1,59.4,1,0.8,1
2,1,0,15,34,0,1,14,2,0,326,1,2,0,0.6,0,0,161,13,6.5,0
5,1,0,3,6,6,0,3,5,0.75,24,1,2,0,0.46666667,0,0,3.4,1,0.8,0
3,1,0,10,20,0,1,9,3,0.5,128,1,1,0,0.5555556,0,0,39,5,1.6666666,0
