@relation ant.1.6
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
6,3,0,10,18,3,2,9,5,0.6888889,113,1,4,0.6875,0.8333333,0,0,16.333334,4,1.6666666,0
1,1,0,3,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
6,1,0,3,11,9,1,3,5,0.8,68,1,1,0,0.33333334,0,0,9.833333,1,0.8333333,0
8,4,0,7,39,4,0,7,7,0.71428573,277,1,0,0.91764706,0.46875,4,4,32.875,5,1.375,0
9,3,0,7,61,28,0,7,3,0.925,749,0.6,0,0.82222223,0.2857143,0,0,81.111115,7,2.2222223,1
2,2,0,2,3,1,1,1,2,2,7,0,0,0.85714287,1,1,1,2.5,1,0.5,0
13,5,0,7,39,0,1,6,7,0.712963,424,1,0,0.71794873,0.2923077,2,5,30.923077,9,1.4615384,1
2,2,0,6,11,1,1,5,2,2,41,0,0,0.9583333,1,0,0,19.5,1,0.5,0
13,1,0,5,32,70,3,2,9,0.8333333,158,1,1,0,0.083333336,0,0,10.846154,2,0.9230769,0
16,2,0,6,31,42,3,4,16,0.6333333,173,1,2,0.5714286,0.2857143,2,5,9.6875,5,1.5,0
4,3,0,13,24,0,2,12,4,0.4,159,1,3,0.85,0.375,0,0,37.5,1,0.75,0
23,3,0,15,88,201,0,15,19,0.8471074,541,1,1,0.62711865,0.14492753,2,2,22.043478,13,2.1304348,0
5,4,0,1,9,10,1,0,3,0.75,81,1,0,0.9245283,0.44,2,2,15,5,2,0
9,2,0,17,73,14,7,16,4,0.725,432,1,5,0.7083333,0.275,1,1,46.444443,1,0.7777778,1
6,1,0,2,7,3,2,0,6,0.6,34,0,0,0,0.75,0,0,4.3333335,1,0.6666667,0
10,5,0,6,25,0,1,5,6,0.7037037,251,1,1,0.7777778,0.375,2,4,23.2,5,1.6,0
2,3,0,4,15,1,0,4,0,2,59,0,0,0.95238096,0.6666667,1,1,28.5,1,0.5,0
15,2,15,24,29,59,20,4,5,0.71428573,169,1,1,0.39130434,0.20952381,0,0,10.066667,3,1.2666667,0
3,2,0,2,4,1,1,1,2,0.5,21,1,0,0.8888889,1,1,1,5.6666665,1,0.33333334,0
12,4,0,5,60,16,0,5,8,0.9020979,720,0.53846157,1,0.8764045,0.30555555,1,2,57.916668,3,1.0833334,0
